Autor,Libro,A̱o
Mark P. O. Morford,Classical Mythology,2002
Richard Bruce Wright,Clara Callan,2001
Carlo D'Este,Decision in Normandy,1991
Gina Bari Kolata,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,1999
E. J. W. Barber,The Mummies of Urumchi,1999
Amy Tan,The Kitchen God's Wife,1991
Robert Cowley,What If?: The World's Foremost Military Historians Imagine What Might Have Been,2000
Scott Turow,PLEADING GUILTY,1993
David Cordingly,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,1996
Ann Beattie,Where You'll Find Me: And Other Stories,2002
David Adams Richards,Nights Below Station Street,1988
Adam Lebor,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,2000
Sheila Heti,The Middle Stories,2004
R. J. Kaiser,Jane Doe,1999
Jack Canfield,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998
Loren D. Estleman,The Witchfinder (Amos Walker Mystery Series),1998
Robert Hendrickson,More Cunning Than Man: A Social History of Rats and Man,1999
Julia Oliver,Goodbye to the Buttermilk Sky,1994
John Grisham,The Testament,1999
Toni Morrison,Beloved (Plume Contemporary Fiction),1994
The Onion,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,1999
Celia Brooks Brown,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,2001
J. R. Parrish,If I'd Known Then What I Know Now,2003
Mary-Kate & Ashley Olsen,Mary-Kate & Ashley Switching Goals,2000
Robynn Clairday,Tell Me This Isn't Happening,1999
Kathleen Duey,Flood : Mississippi 1927,1998
Rich Shapero,Wild Animus,2004
Michael Crichton,Airframe,1997
MICHAEL CRICHTON,Timeline,2000
C.S. Lewis,OUT OF THE SILENT PLANET,1996
ARTHUR PHILLIPS,Prague : A Novel,2003
Stephan Jaramillo,Chocolate Jesus,1998
Mordecai Richler,Wie Barney es sieht.,2002
Eleanor Cooney,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,2001
Charlotte Link,Sturmzeit. Roman.,1991
Richard North Patterson,Tage der Unschuld.,2000
Mark Salzman,Lying Awake,2000
Harper Lee,To Kill a Mockingbird,1988
LAURA HILLENBRAND,Seabiscuit: An American Legend,2002
Barbara Kingsolver,Pigs in Heaven,1993
Jo Dereske,Miss Zukas and the Raven's Dance,1996
Jane Austen,Pride and Prejudice,1983
Dolores Krieger,The Therapeutic Touch: How to Use Your Hands to Help or to Heal,1979
Anne Rivers Siddons,Downtown,1995
Dean R. Koontz,Icebound,2000
Mary Higgins Clark,I'll Be Seeing You,1994
Dean Koontz,From the Corner of His Eye,2001
Patricia Cornwell,Isle of Dogs,2002
J.D. Robb,Purity in Death,2002
